"personLabel"	"assocLabel"
"Shea Rose"	"Esperanza Spalding"
"Shea Rose"	"Queen Latifah"
"Shelly Lares"	"Selena"
"Simon Gogerly"	"Gwen Stefani"
"Simon Gogerly"	"Paloma Faith"
"Simon Katz"	"Damon Albarn"
"Simon Katz"	"Sia Furler"
"Singing Melody"	"Richie Stephens (musician)"
"Sirkus Sirkuz"	"Deadmau5"
"Sirkus Sirkuz"	"Jon Spencer"
"Smoke DZA"	"Big K.R.I.T."
"Smoke DZA"	"Currensy"
"Smurfie Syco"	"Dizzee Rascal"
"Snow Tha Product"	"Tech N9ne"
"Snow Tha Product"	"Ty Dolla Sign"
"Sonny Digital"	"Southside (record producer)"
"Sonny Digital"	"Waka Flocka Flame"
"Sonny Digital"	"Rich The Kid"
"Sonny Digital"	"2 Chainz"
"Sonny Digital"	"Chief Keef"
"Sonny Digital"	"TM88"
"Sonny Digital"	"Young Thug"
"Sonny Digital"	"Kanye West"
"Sound Sultan"	"M.I"
"Sound Sultan"	"Faze (musician)"
"Sound Sultan"	"Sarkodie (rapper)"
"StayBent Krunk-a-Delic"	"Nelly Furtado"
"StayBent Krunk-a-Delic"	"Rico Love"
"StayBent Krunk-a-Delic"	"Chris Webby"
"StayBent Krunk-a-Delic"	"Jazmine Sullivan"
"StayBent Krunk-a-Delic"	"LunchMoney Lewis"
"Steve Guyger"	"Jimmy Rogers"
"Stevie Stone"	"Tech N9ne"
"Stevie Stone"	"Krizz Kaliko"
"Stu Thomas"	"Dan Brodie"
"Stylo G"	"Diztortion"
"Stylo G"	"Dillon Francis"
"Ståle Storløkken"	"Terje Rypdal"
"Sukhwinder Panchhi"	"Sardool Sikander"
"Suzanna Choffel"	"Johnny Goudie"
"Sydney Blu"	"Deadmau5"
"T-Nutty"	"Tech N9ne"
"T-Nutty"	"Snoop Dogg"
"TM88"	"Drake (musician)"
"TM88"	"Southside (record producer)"
"TM88"	"Waka Flocka Flame"
"TM88"	"2 Chainz"
"TM88"	"Sonny Digital"
"TM88"	"Young Thug"
"Tha City Paper"	"Young Buck"
"The Toxic Avenger (musician)"	"Orelsan"
"Thundercat (musician)"	"Erykah Badu"
"Thundercat (musician)"	"SZA (singer)"
"Tom Swoon"	"Amba Shepherd"
"TommyD"	"Jamie Scott"
"Tommy Coster"	"Xzibit"
"Tommy Coster"	"50 Cent"
"Tommy Coster"	"Ice Cube"
"Tommy Coster"	"Nate Dogg"
"Tommy Coster"	"Snoop Dogg"
"Tommy Lee Sparta"	"Busy Signal"
"Tommy Lee Sparta"	"Bounty Killer"
"Tommy Trash"	"A-Trak"
"Tommy Trash"	"Angger Dimas"
"Tony Miceli"	"Peter Bernstein (guitarist)"
"Tony Mullins"	"Kenny Chesney"
"Totally Enormous Extinct Dinosaurs"	"Damon Albarn"
"Totally Enormous Extinct Dinosaurs"	"Banks (singer)"
"Totally Enormous Extinct Dinosaurs"	"Dillon Francis"
"Trevor Jackson (performer)"	"B.o.B"
"Trevor Jackson (performer)"	"André 3000"
"Trevor Jackson (performer)"	"Zendaya"
"Trevor Jackson (performer)"	"Kevin Gates"
"Tuva Syvertsen"	"Hildegunn Øiseth"
"Tyler Farr"	"Colt Ford"
"Tyshane"	"Street Symphony (producer)"
"Tyshane"	"Andy Mineo"
"Verbal Kent"	"Pete Rock"
"Verbal Kent"	"Sadat X"
"Viktoria Petryk"	"Anastasiya Petryk"
"Wade Martin"	"50 Cent"
"Wade Martin"	"Britney Spears"
"Wade Martin"	"Will.i.am"
"Wade Martin"	"Snoop Dogg"
"Wande Coal"	"D'banj"
"Wande Coal"	"Don Jazzy"
"Wande Coal"	"Dr SID"
"Wankelmut"	"Asaf Avidan"
"Wankelmut"	"Emma Louise"
"Wanz"	"Macklemore"
"Wanz"	"Ryan Lewis"
"Wayne Cohen"	"Thousand Hours"
"Willy Moon"	"Natalia Kills"
"Xilent"	"Seven Lions"
"Yonas (hip hop artist)"	"Kid Cudi"
"Yonas (hip hop artist)"	"Macklemore"
"Yossi Fine"	"Stanley Jordan"
"Yossi Fine"	"Vieux Farka Touré"
"Yossi Fine"	"David Bowie"
"Young Chop"	"Chief Keef"
"Young Chop"	"Fredo Santana"
"Young Chop"	"SD (rapper)"
"Young Chop"	"Lil Durk"
"Young JV"	"Sam Concepcion"
"Yuvraj Hans"	"Vinaypal Buttar"
"Zachg"	"Jel"
"Zifou"	"La Fouine"
"Sigala"	"John Newman (singer)"
"Sigala"	"Nile Rodgers"
"Sigala"	"Bryn Christopher"
"Sigala"	"Craig David"
"Timo Pieni Huijaus"	"Pyhimys"
"Alec Cartio"	"Cameron Cartio"
"Bilal Khan (singer)"	"Fawad Khan"
"Bilal Khan (singer)"	"Ali Zafar"
"Bilal Khan (singer)"	"Atif Aslam"
"Casey Beathard"	"Eric Church"
"Casey Beathard"	"Kenny Chesney"
"Charles Burnham (musician)"	"Dave Soldier"
"Charles Burnham (musician)"	"James Blood Ulmer"
"Coyle Girelli"	"Asher Roth"
"DJ Dahi"	"Drake (musician)"
"DJ Dahi"	"Kanye West"
"David Hassinger"	"Elvis Presley"
"Dottie West"	"Kenny Rogers"
"Dottie West"	"Shelly West"
"Dottie West"	"Jim Reeves"
"Harry Owens"	"Bing Crosby"
"Harvey Brooks (bassist)"	"Miles Davis"
"Harvey Brooks (bassist)"	"Bob Dylan"
"Harvey Brooks (bassist)"	"Al Kooper"
"J.R. Writer"	"Hell Rell"
"Jaki Liebezeit"	"Bernd Friedmann"
"Jaki Liebezeit"	"Jah Wobble"
"Jaki Liebezeit"	"Brian Eno"
"Jeff Stevens (singer)"	"Luke Bryan"
"Jennifer Maidman"	"Guesch Patti"
"Jennifer Maidman"	"Robert Wyatt"
"Jennifer Maidman"	"Murray Head"
"Jennifer Maidman"	"Boy George"
"John Sherrit"	"Richard Clapton"
"Jon Nelson (guitarist)"	"Anthony Gallo"
"Julio Gutiérrez (musician)"	"Peruchín"
"Kermit Ruffins"	"Irvin Mayfield"
"Ksenija Pajčin"	"Danijel Alibabić"
"LKT (musician)"	"ELDee"
"LKT (musician)"	"Olu Maintain"
"Manj Musik"	"Gippy Grewal"
"Melvin LaThomas Brimm"	"Lil Mama"
"Michael Day (guitarist)"	"Derek James"
"Michael Day (guitarist)"	"Patrick Stump"
"Michael Erlewine"	"Iggy Pop"
"Nasi (singer)"	"Ciro Pessoa"
"Onzy Matthews"	"Lou Rawls"
"Onzy Matthews"	"Mercer Ellington"
"Onzy Matthews"	"Esther Phillips"
"P. Adinarayana Rao"	"Akkineni Nageswara Rao"
"Pannalal Ghosh"	"Ravi Shankar"
"Patricia Lewis (singer)"	"David Hasselhoff"
"Patricia Lewis (singer)"	"Jim Reeves"
"Patrick James (singer)"	"Niall Breslin"
"Patrick James (singer)"	"Una Healy"
"Pekka Sarmanto"	"Heikki Sarmanto"
"Roland Gutierrez (musician)"	"Chris Pérez"
"Roland Gutierrez (musician)"	"A.B. Quintanilla"
"Roland Gutierrez (musician)"	"Paula DeAnda"
"Roland Gutierrez (musician)"	"DJ Kane"
"Rory Dodd"	"Meat Loaf"
"Rory Storm"	"Ringo Starr"
"Sabina Ddumba"	"Katy Perry"
"Shayan Chowdhury Arnob"	"Idris Rahman"
"Sigrid Sköldberg-Pettersson"	"Emmy Köhler"
"Silvano ""Chori"" Shueg"	"Miguelito Valdés"
"Simon Hill (musician)"	"Victoria Beckham"
"Simon Hill (musician)"	"Alex Parks"
"Simon Hill (musician)"	"Louise Setara"
"Simon Hill (musician)"	"Natasha Bedingfield"
"Simon Hill (musician)"	"Kim Wilde"
"Simon Hill (musician)"	"Connie Talbot"
"Stephen Allen Davis"	"Percy Sledge"
"Tekno Miles"	"Phyno"
"Tekno Miles"	"Reekado Banks"
"Tekno Miles"	"Iyanya"
"Tom Coyne (music engineer)"	"Adele"
"Tom Coyne (music engineer)"	"Shila Amzah"
"Tom Coyne (music engineer)"	"Sam Smith (singer)"
"Tom Coyne (music engineer)"	"Beyoncé"
"Tom Coyne (music engineer)"	"Taylor Swift"
"Tony Maimone"	"Bob Mould"
"Vado (rapper)"	"DJ Khaled"
"Vado (rapper)"	"Jae Millz"
"Vaidas Baumila"	"Monika Linkytė"
"William ""Smitty"" Smith"	"Mike Finnigan"
"Liao Zilan"	"Jah Wobble"
"Aaradhna"	"David Dallas"
"Aaradhna"	"Savage (rapper)"
"Adam Siegel"	"Greg Saenz"
"Adam Siegel"	"Dan Clements"
"Adam Siegel"	"Shaun Ross (musician)"
"Alan Spenner"	"Peter Frampton"
"Alan Spenner"	"Joe Cocker"
"Alan Spenner"	"Alvin Lee"
"Andy M. Stewart"	"Manus Lunny"
"Anthony Pappa"	"John Digweed"
"Ben Keith"	"Neil Young"
"Bill Davison"	"Eddie Condon"
"Bobby Kildea"	"Russian Red"
"Chad Szeliga"	"Crystal Bowersox"
"Chris Corsano"	"Björk"
"Cold 187um"	"Eazy-E"
"Cold 187um"	"MC Ren"
"Cold 187um"	"Dr. Dre"
"Cold 187um"	"Snoop Dogg"
"DJ U-Neek"	"Eazy-E"
"DJ U-Neek"	"Ice Cube"
"DJ U-Neek"	"MC Ren"
"Danny Hutton"	"Chuck Negron"
"Danny Hutton"	"Randy Newman"
"Danny Hutton"	"Laura Nyro"
"Danny Hutton"	"Harry Nilsson"
"Dean Pleasants"	"Jessica Simpson"
"Don Preston"	"Frank Zappa"
"Duster Bennett"	"Alexis Korner"
"Ed O.G."	"Afu-Ra"
"Ed O.G."	"Pete Rock"
"Ed O.G."	"RZA"
"Ed O.G."	"Common (rapper)"
"Ed O.G."	"KRS-One"
"Ed O.G."	"DJ Premier"
"Ed O.G."	"Guru (rapper)"
"Guy Barker"	"Clark Tracey"
"Harry Roy"	"Ray Ellington"
"Hilton Ruiz"	"Tito Puente"
"Johnny Echols"	"Arthur Lee (musician)"
"Johnny Echols"	"Billy Preston"
"Johnny Frigo"	"Jimmy Dorsey"
"Johnny Frigo"	"Bucky Pizzarelli"
"Karylle"	"Yael Yuzon"
"Karylle"	"Vice Ganda"
"Karylle"	"Regine Velasquez"
"Karylle"	"Kris Lawrence"
"Karylle"	"Zia Quizon"
"Karylle"	"Ogie Alcasid"
"Kyle Woodring"	"Dennis DeYoung"
"Martyn LeNoble"	"Dave Gahan"
"Merle Watson"	"Doc Watson"
"Mick Gallagher"	"Peter Frampton"
"Mick Gallagher"	"Roger Daltrey"
"Mick Gallagher"	"Topper Headon"
"Mike Dillon (musician)"	"Marco Benevento"
"Mike Dillon (musician)"	"Stanton Moore"
"Mike Dillon (musician)"	"Ani DiFranco"
"Money-B"	"Tupac Shakur"
"Mort Dixon"	"Allie Wrubel"
"Mort Dixon"	"Harry M. Woods"
"Mort Dixon"	"Harry Warren"
"Neal Coty"	"Blake Shelton"
"Neil Hubbard"	"Tony O'Malley (musician)"
"Neil Hubbard"	"Bryan Ferry"
"O. V. Wright"	"James Carr (musician)"
"O. V. Wright"	"Otis Redding"
"Owen Bradley"	"Burl Ives"
"Owen Bradley"	"Patsy Cline"
"Owen Bradley"	"Brenda Lee"
"Owen Bradley"	"Conway Twitty"
"Paula DeAnda"	"Problem (rapper)"
"Peggy O'Keefe"	"Mark Murphy (singer)"
"Peggy O'Keefe"	"Cleo Laine"
"Pete ""El Conde"" Rodríguez"	"Johnny Pacheco"
"Pete ""El Conde"" Rodríguez"	"Celia Cruz"
"Pete ""El Conde"" Rodríguez"	"Tito Puente"
"Phil Small"	"Ian Moss"
"Plastician"	"Skream"
"Preet Brar"	"Miss Pooja"
"Rob Nicholson (musician)"	"Rob Zombie"
"Rob Nicholson (musician)"	"Ozzy Osbourne"
"Rob Townsend"	"Bill Wyman"
"Rob Townsend"	"George Melly"
"Seagram (rapper)"	"Ganksta N-I-P"
"Seagram (rapper)"	"Scarface (rapper)"
"Shakila Zafar"	"Shuvro Dev"
"Shelly West"	"David Frizzell"
"Shelly West"	"Dottie West"
"Steve Hass"	"Mavis Staples"
"Steve Hass"	"Cher"
"T. Graham Brown"	"George Jones"
"Tom Howard (musician)"	"Mark Heard"
"Tom Howard (musician)"	"Randy Stonehill"
"Wayne Hector"	"Olly Murs"
"Wes Dakus"	"Buddy Knox"
"Wrekonize"	"Tech N9ne"
"Z-Ro"	"Big Hawk"
"Z-Ro"	"Scarface (rapper)"
"Šemsa Suljaković"	"Sinan Sakić"
"Šemsa Suljaković"	"Kemal Malovčić"
"Chinx"	"Meek Mill"
"Chinx"	"Harry Fraud"
"Chinx"	"Vado (rapper)"
"Chinx"	"French Montana"
"John L. Nelson"	"Prince (musician)"
"Lim Kim"	"Park Chanyeol"
"Monika Linkytė"	"Vaidas Baumila"
"Zion.T"	"Crucial Star"
"Zion.T"	"Crush (singer)"
"Zion.T"	"Primary (musician)"
"Abdominal (rapper)"	"DJ Format"
"BB Jay"	"Hezekiah Walker"
"BB Jay"	"MC Hammer"
"BB Jay"	"KRS-One"
"Bill Ryder-Jones"	"Alex Turner (musician)"
"Black Benny"	"Louis Armstrong"
"Black Benny"	"Sidney Bechet"
"Bob Pridden"	"David Bowie"
"Bob Pridden"	"Eric Clapton"
"Bob Pridden"	"Paul McCartney"
"Boyce Brown"	"Wingy Manone"
"Brooks Kerr"	"Sonny Greer"
"Buddy Buie"	"Roy Orbison"
"Buster Harding"	"Count Basie"
"Chris Laurence"	"Tony Oxley"
"Craig Wiseman"	"Roy Orbison"
"Craig Wiseman"	"Kenny Chesney"
"Craig Wiseman"	"Phil Vassar"
"Craig Wiseman"	"Blake Shelton"
"Curley Weaver"	"Blind Willie McTell"
"Dan Carey (record producer)"	"Kate Tempest"
"Dan Carey (record producer)"	"Sia Furler"
"Danilo Terenzi"	"Giorgio Gaslini"
"Daryl Coley"	"Richard Smallwood"
"Daryl Coley"	"Vickie Winans"
"Daryl Coley"	"Vanessa Bell Armstrong"
"Daryl Coley"	"James Cleveland"
"Dave Pino"	"Andrew W.K."
"David Kersh"	"Brad Paisley"
"Don Ewell"	"Jack Teagarden"
"Don Lanphere"	"Fats Navarro"
"Dully Sykes"	"Professor Jay"
"Dully Sykes"	"Diamond Platnumz"
"Ed Garland"	"Freddie Keppard"
"Ed Garland"	"Kid Ory"
"Gabe Serbian"	"Alec Empire"
"George Masso"	"Jimmy Dorsey"
"Glenn Zottola"	"Lionel Hampton"
"Hilton Jefferson"	"Cab Calloway"
"Ian Carr (guitarist)"	"John McCusker"
"Ian Carr (guitarist)"	"Karen Tweed"
"Ian Carr (guitarist)"	"Heidi Talbot"
"Israel Crosby"	"Ahmad Jamal"
"Israel Crosby"	"George Shearing"
"Jason Sellers"	"Ricky Skaggs"
"Jay Nugent"	"King Django"
"Jesper Thilo"	"Miles Davis"
"Jimmy Archey"	"Fats Waller"
"Jimmy Cleveland"	"Miles Davis"
"Jimmy Skidmore"	"Humphrey Lyttelton"
"Joe Chambers"	"Bobby Hutcherson"
"Joe Chambers"	"Donald Byrd"
"Joe Chambers"	"Wayne Shorter"
"Joe Chambers"	"Archie Shepp"
"Joe Darensbourg"	"Kid Ory"
"John Molo"	"Bruce Hornsby"
"Ju-ken"	"Heath (musician)"
"Ju-ken"	"Gackt"
"Ken Hyder"	"Chris Biscoe"
"Kent Robbins"	"Buzz Cason"
"Kent Robbins"	"Charley Pride"
"Kevin Valentine"	"Donnie Iris"
"Leo Watson"	"Artie Shaw"
"Madchild"	"Tech N9ne"
"Marty Marsala"	"Earl Hines"
"Marty Marsala"	"Sidney Bechet"
"Marty Napoleon"	"Louis Armstrong"
"Marty Napoleon"	"Charlie Ventura"
"Morey Feld"	"Ben Pollack"
"Morey Feld"	"Billy Butterfield"
"Morey Feld"	"Bobby Hackett"
"Morey Feld"	"Eddie Condon"
"Paddy Glackin"	"Mícheál Ó Domhnaill"
"Paddy Glackin"	"Dónal Lunny"
"Paddy Glackin"	"Tríona Ní Dhomhnaill"
"Peck Kelley"	"Jack Teagarden"
"Peck Kelley"	"Louis Prima"
"Randolph Colville"	"Keith Nichols"
"Ray Griff"	"Jerry Lee Lewis"
"Ray Griff"	"George Hamilton IV"
"Richard Batchens"	"Richard Clapton"
"Rod Cless"	"Muggsy Spanier"
"Sam Noto"	"Stan Kenton"
"Sandy Williams"	"Rex Stewart"
"Sandy Williams"	"Chick Webb"
"Savannah Churchill"	"Benny Carter"
"Shafi Hadi"	"Charles Mingus"
"Starshell"	"Kanye West"
"Steven Fromholz"	"Rick Roberts (musician)"
"Taylor Rhodes"	"Celine Dion"
"Taylor Rhodes"	"Ozzy Osbourne"
"Teki Latex"	"Orgasmic (producer)"
"Tommy McQuater"	"George Chisholm (musician)"
"Tony Parenti"	"Eddie Condon"
"Tony Parenti"	"Ted Lewis (musician)"
"Tony Secunda"	"Steve Peregrin Took"
"Vicki Anderson"	"James Brown"
"Will Hunt"	"Vasco Rossi"
"Darrell McCall"	"Johnny Paycheck"
"Darrell McCall"	"Hank Williams Jr."
"Bertha Hope"	"Elmo Hope"
"Bertha Hope"	"Walter Booker"
"Bleona"	"Rodney Jerkins"
"Bleona"	"John Shanks"
"Bleona"	"David Foster"
"Byron Gallimore"	"Kristian Bush"
"Byron Gallimore"	"Faith Hill"
"Byron Gallimore"	"Austin Webb"
"Byron Gallimore"	"Jaida Dreyer"
"CJ Mac"	"WC (rapper)"
"Charles Tyler (musician)"	"Sun Ra"
"DJ Kay Slay"	"Ghostface Killah"
"DJ Kay Slay"	"Uncle Murda"
"DJ Kay Slay"	"Ray J"
"DJ Kay Slay"	"J.R. Writer"
"DJ Kay Slay"	"Vado (rapper)"
"DJ Kay Slay"	"French Montana"
"DJ Kay Slay"	"Maino"
"Killa Hakan"	"Ceza"
"Maria Cole"	"Nat King Cole"
"Maria Cole"	"Count Basie"
"Aubrey Adams"	"Lynn Taitt"
"Beryl Davis"	"Django Reinhardt"
"Beryl Davis"	"Frank Sinatra"
"Beryl Davis"	"Glenn Miller"
"Bill Atwood (musician)"	"Van Morrison"
"Billy Jack Saucier"	"Hank Thompson (musician)"
"Bobby Gregg"	"Bob Dylan"
"Bobby Thomas"	"Junior Mance"
"Brij Bhushan Kabra"	"Debashish Bhattacharya"
"Chopmaster J"	"Tupac Shakur"
"Chopmaster J"	"George Clinton (musician)"
"Daniel Pearce"	"Dizzee Rascal"
"Eddie London"	"Ronnie Rogers"
"Jesse Fortune"	"Willie Dixon"
"Jesse Fortune"	"Buddy Guy"
"Julian Emery"	"Lissie"
"Lucky Luciano (rapper)"	"Juan Gotti"
"Lucky Luciano (rapper)"	"Z-Ro"
"Lucky Luciano (rapper)"	"Chamillionaire"
"Lucky Luciano (rapper)"	"South Park Mexican"
"Qonja"	"Sunny Boy (rapper)"
"Qonja"	"The Dogg"
"Ric Parnell"	"Engelbert Humperdinck (singer)"
"Ric Parnell"	"Jeff Beck"
"Ric Parnell"	"Toni Basil"
"Ric Parnell"	"Cher"
"Ric Parnell"	"Bette Midler"
"Sierra Kay"	"Blake Harnage"
"Skip Miller"	"Lionel Richie"
"Stephanie Winslow"	"Roy Orbison"
"Trevor Spencer"	"Hank Marvin"
"Trevor Spencer"	"Barbara Dickson"
"Willie the Kid (rapper)"	"DJ Drama"
"Willie the Kid (rapper)"	"Cory Gunz"
"Willie the Kid (rapper)"	"Termanology"
"Willie the Kid (rapper)"	"Jon Connor"
"Willie the Kid (rapper)"	"The Alchemist (musician)"
"Hefe Wine"	"Daz Dillinger"
"Hefe Wine"	"Iggy Azalea"
"Pebe Sebert"	"Dolly Parton"
"Pebe Sebert"	"Pitbull (rapper)"
"Pebe Sebert"	"Kesha"
"Pebe Sebert"	"Miley Cyrus"
"Ti2bs"	"RZA"
"Ti2bs"	"Al Shux"
"Tim Johnson (songwriter)"	"Rory Lee Feek"
"Ñengo Flow"	"J Alvarez"
"Ñengo Flow"	"Cosculluela"
"A. J. Ghent"	"Derek Trucks"
"Andre Lindal"	"Nelly Furtado"
"Andre Lindal"	"Gwen Stefani"
"Andre Lindal"	"Britney Spears"
"Andre Lindal"	"Rodney Jerkins"
"Anthony ""Tiny"" Biuso"	"MC Ren"
"Anthony ""Tiny"" Biuso"	"Moby"
"Anthony ""Tiny"" Biuso"	"Anthony Gallo"
"Anthony ""Tiny"" Biuso"	"Dizzy Reed"
"Cainon Lamb"	"Missy Elliott"
"Camille Purcell"	"Jessie J"
"Camille Purcell"	"Ella Henderson"
"Carlos Stephens"	"Mystikal"
"Carlos Stephens"	"Fiend (rapper)"
"Carlos Stephens"	"Romeo Miller"
"Carlos Stephens"	"Snoop Dogg"
"D. Vincent Williams"	"James Otto"
"Debi Makhsoospuri"	"Sangtar"
"Debi Makhsoospuri"	"Kamal Heer"
"Debi Makhsoospuri"	"Sarbjit Cheema"
"Driicky Graham"	"Fabolous"
"Dónal O'Connor"	"Bob Brozman"
"Dónal O'Connor"	"Len Graham (singer)"
"Dónal O'Connor"	"Eithne Ní Uallacháin"
"Faton Macula"	"Mark Whitfield"
"Frank Gryner"	"Rob Zombie"
"Frank Gryner"	"Emm Gryner"
"Gabriel Coss"	"Nelly Furtado"
"Geeta Zaildar"	"Aman Hayer"
"Geeta Zaildar"	"Gippy Grewal"
"Geeta Zaildar"	"Nachhatar Gill"
"Geeta Zaildar"	"Preet Harpal"
"Geeta Zaildar"	"Miss Pooja"
"Ian Shepherd"	"Tricky (musician)"
"JR (rapper)"	"AKA (rapper)"
"Jay Joyce"	"Eric Church"
"Justin Parker"	"Lana Del Rey"
"Justin Parker"	"Ellie Goulding"
"Justin Parker"	"Sia Furler"
"Kelley Lovelace"	"Brad Paisley"
"Maxsta"	"Scrufizzer"
"Maxsta"	"Maniac (producer)"
"Małolat"	"Onar (rapper)"
"Monika Maid"	"Chris de Burgh"
"Mr. Del"	"Gangsta Boo"
"Mr. Del"	"Canton Jones"
"Nathan Retro"	"Tinchy Stryder"
"Nathan Retro"	"Rio Ferdinand"
"Nathan Retro"	"Dappy"
"Ned Cameron"	"Sean Kingston"
"Ned Cameron"	"Kid Ink"
"Ned Cameron"	"Chris Brown"
"Ned Cameron"	"Tyga"
"O'Landa Draper"	"Hezekiah Walker"
"O'Landa Draper"	"Shirley Caesar"
"Pat Dillett"	"Doveman"
"Pat Dillett"	"Nile Rodgers"
"Pat Dillett"	"David Byrne"
"Preet Harpal"	"Roshan Prince"
"Prince Hammer"	"Adrian Sherwood"
"Romeo Antonio"	"Prince (musician)"
"Romeo Antonio"	"Tommy Lee"
"Romeo Antonio"	"Darryl McDaniels"
"Romeo Antonio"	"Jessica Simpson"
"Romeo Antonio"	"Krayzie Bone"
"Romeo Antonio"	"Pink (singer)"
"Romeo Antonio"	"Mariah Carey"
"Romeo Antonio"	"Paris Hilton"
"Romeo Antonio"	"Michael Jackson"
"Romeo Antonio"	"Neil Young"
"Romeo Antonio"	"Madonna (entertainer)"
"Romeo Antonio"	"Coolio"
"Romeo Antonio"	"Ginuwine"
"Shady Nate"	"Philthy Rich"
"Shady Nate"	"Stevie Joe"
"Shady Nate"	"Snoop Dogg"
"Sleep Dank"	"Mistah F.A.B."
"Sleep Dank"	"Mac Dre"
"Stefan Galea"	"Daniel Testa"
"Stefan Galea"	"Gaia Cauchi"
"Tony Dawsey"	"Whitney Houston"
"Tony Dawsey"	"Akon"
"Tony Dawsey"	"Ghostface Killah"
"Tony Dawsey"	"Kid Rock"
"Tony Dawsey"	"Moby"
"Tony Dawsey"	"DMX (rapper)"
"Vlado Meller"	"Celine Dion"
"Vlado Meller"	"Andrea Bocelli"
"Vlado Meller"	"Frank Ocean"
"Vlado Meller"	"Michael Jackson"
"Vlado Meller"	"Julio Iglesias"
"Vlado Meller"	"Kanye West"
"A.J. Crew"	"Demarco Castle"
"A.J. Crew"	"Naledge"
"ASAP Nast"	"Skepta"
"ASAP Twelvyy"	"Smoke DZA"
"Aniff Akinola"	"Kirsty MacColl"
"Aniff Akinola"	"A Guy Called Gerald"
"Becoming Phill"	"Gazza (musician)"
"Becoming Phill"	"Pumpkinhead (rapper)"
"Becoming Phill"	"Qonja"
"Cheesa"	"Babyface (musician)"
"Cheesa"	"David Foster"
"Choo Jackson"	"Brandun DeShay"
"Demmette Guidry"	"Alicia Keys"
"Demmette Guidry"	"Beyoncé"
"Dennis Lambert"	"Jerry Lee Lewis"
"Dick Mine"	"Masao Koga"
"Etta Bond"	"Wretch 32"
"Etta Bond"	"Plan B (musician)"
"Etta Bond"	"Chris Loco"
"Etta Bond"	"Khalil Madovi"
"Etta Bond"	"Labrinth"
"Etta Bond"	"Raf Riley"
"Fatai Rolling Dollar"	"Ebenezer Obey"
"Iris Gordy"	"Teena Marie"
"Iris Gordy"	"Táta Vega"
"Iyanya"	"M.I"
"Iyanya"	"D'banj"
"Iyanya"	"Tiwa Savage"
"Iyanya"	"Tekno Miles"
"Jaden Michaels"	"Naya Rivera"
"Jaden Michaels"	"Jennifer Lopez"
"Jaden Michaels"	"Demi Lovato"
"Jaden Michaels"	"Carly Rae Jepsen"
"Jaden Michaels"	"Lea Michele"
"Jaroslav Jakubovič"	"Randy Brecker"
"Jarren Benton"	"Vinnie Paz"
"Jarren Benton"	"Hopsin"
"Jarren Benton"	"Tech N9ne"
"Jarren Benton"	"Dizzy Wright"
"Jarren Benton"	"Rittz"
"Jarren Benton"	"Locksmith (rapper)"
"Jarren Benton"	"2 Chainz"
"Jarren Benton"	"SwizZz"
"Joe Graydon"	"Gordon Jenkins"
"K-Mil"	"Noriega (producer)"
"K-Mil"	"Lisa M"
"Kayla J. Yoo"	"Jordan Kyle"
"Kayla J. Yoo"	"Justine Ok"
"Kim Tribble"	"David Lee Murphy"
"Konrad Kaspersen"	"Hallgeir Pedersen"
"Konrad Kaspersen"	"Thorgeir Stubø"
"Lady Leshurr"	"Scrufizzer"
"Lady Leshurr"	"Tinchy Stryder"
"Lady Leshurr"	"Labrinth"
"Lady Leshurr"	"Maxsta"
"Lady Leshurr"	"Etta Bond"
"Lady Leshurr"	"Raf Riley"
"Larry Hernandez"	"Lupillo Rivera"
"Larry Hernandez"	"Jenni Rivera"
"Larry Hernandez"	"Chiquis Rivera"
"Larry Hernandez"	"Chayanne"
"Larry Hernandez"	"El Potro de Sinaloa"
"Le Youth"	"Jakwob"
"Le Youth"	"Dominique Young Unique"
"Lee on the Beats"	"DJ Khaled"
"Mads Hauge"	"Pixie Lott"
"Mads Hauge"	"Eliza Doolittle (singer)"
"Mads Hauge"	"Natasha Bedingfield"
"Mads Hauge"	"Darren Hayes"
"Mary Susan Applegate"	"Celine Dion"
"Mary Susan Applegate"	"Lizzy Mack"
"Mayra Goñi"	"Leslie Shaw"
"Mickey Jack Cones"	"Eric Church"
"Mickey Jack Cones"	"Lionel Richie"
"Mickey Jack Cones"	"Blake Shelton"
"Mickey Jack Cones"	"George Strait"
"Mike Zombie"	"Rick Ross"
"Mike Zombie"	"Meek Mill"
"Mike Zombie"	"DJ Khaled"
"Mike Zombie"	"Casey Veggies"
"Mike Zombie"	"French Montana"
"Naomi Thompson"	"Elvis Costello"
"Naomi Thompson"	"Howard Jones (musician)"
"Olamide"	"Phyno"
"Olamide"	"Wale (rapper)"
"Owuor Arunga"	"Macklemore"
"Paul Pilot"	"Duke Special"
"Paul Pilot"	"Tim Williams (folk musician)"
"Peter Mokran"	"R. Kelly"
"Peter Mokran"	"Aaliyah"
"Peter Mokran"	"Michael Jackson"
"Peter Mokran"	"Quincy Jones"
"Peter Mokran"	"Christina Aguilera"
"Porcelain Raft"	"Youth Lagoon"
"Rachel K Collier"	"Mat Zo"
"Russ Chimes"	"Ellie Goulding"
"Russ Chimes"	"Frankmusik"
"Sneakbo"	"Chip (rapper)"
"SwizZz"	"Hopsin"
"SwizZz"	"Dizzy Wright"
"SwizZz"	"Jarren Benton"
"Walfredo de los Reyes"	"Julio Gutiérrez (musician)"
"Zaki Ibrahim"	"Erykah Badu"
