"personLabel"	"assocLabel"
"Niels-Henning Ørsted Pedersen"	"Dizzy Gillespie"
"Tommy Benford"	"Jelly Roll Morton"
"Dieter Bohlen"	"Bonnie Tyler"
"Earl Bostic"	"John Coltrane"
"Frank Ifield"	"Cliff Richard"
"Norrie Paramor"	"Cliff Richard"
"Sonny Clark"	"Billie Holiday"
"Sonny Greer"	"Duke Ellington"
"Sonny Stitt"	"Charlie Parker"
"Chuck Burgi"	"Billy Joel"
"Joe Venuti"	"Benny Goodman"
"Joe Venuti"	"Bix Beiderbecke"
"Kim Carnes"	"Jeff Bridges"
"Sam Jones (musician)"	"Dizzy Gillespie"
"Soko Richardson"	"Ike Turner"
"Arthur Johnston (composer)"	"Irving Berlin"
"Bohumir Kryl"	"John Philip Sousa"
"Lawrence Brown (jazz trombonist)"	"Duke Ellington"
"Bobby Hackett"	"Benny Goodman"
"Hugh Martin"	"Judy Garland"
"Luther Henderson"	"Duke Ellington"
"Peter Meaden"	"Chuck Berry"
"Sonny Igoe"	"Benny Goodman"
"Jimmy Palao"	"Buddy Bolden"
"Richie Faulkner"	"Christopher Lee"
"Rosa Morena"	"Judy Garland"
"Conrad Reeder"	"John Denver"
"Ronnie Lang"	"Henry Mancini"
"Tom Barney"	"Dizzy Gillespie"
"William Oscar Smith"	"Dizzy Gillespie"
"Diamond Teeth Mary"	"Bessie Smith"
"Hasaan Ibn Ali"	"John Coltrane"
"Da Brat"	"Lisa Lopes"
"Frank Butler (musician)"	"Duke Ellington"
"Frank Butler (musician)"	"John Coltrane"
"Harry Edison"	"Ella Fitzgerald"
"Milt Raskin"	"Billie Holiday"
"Pino Palladino"	"Gary Numan"
"Pino Presti"	"Astor Piazzolla"
"Rufus ""Speedy"" Jones"	"Duke Ellington"
"Seasick Steve"	"John Paul Jones (musician)"
"Barbara Morrison"	"Ella Fitzgerald"
"Bernard Fowler"	"Herbie Hancock"
"Brian Tarquin"	"John Paul Jones (musician)"
"Brian Tichy"	"Glenn Hughes"
"Bruce Watson (guitarist)"	"Fish (singer)"
"Catherine Porter"	"Brian May"
"Eddie Bert"	"Benny Goodman"
"Faye Carol"	"Billie Holiday"
"Nigel Stonier"	"Joan Baez"
"Tal Wilkenfeld"	"Herbie Hancock"
